order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,payment_method,region
ORD_4_1,9639,153,7,2026-01-04,4,117.84,Cash,South
ORD_4_2,5640,510,15,2026-01-04,4,320.76,Debit Card,West
ORD_4_3,9905,434,4,2026-01-04,1,166.21,Credit Card,West
ORD_4_4,8796,190,9,2026-01-04,9,166.04,Cash,West
ORD_4_5,6977,836,1,2026-01-04,9,146.23,Cash,West
ORD_4_6,1051,833,18,2026-01-04,8,459.45,Net Banking,West
ORD_4_7,3698,823,3,2026-01-04,4,414.34,Cash,North
ORD_4_8,9428,338,6,2026-01-04,10,322.72,Cash,East
ORD_4_9,3119,249,11,2026-01-04,1,369.31,Cash,East
ORD_4_10,5162,541,19,2026-01-04,3,85.05,Credit Card,South
ORD_4_11,6967,653,11,2026-01-04,8,475.91,Net Banking,West
ORD_4_12,4083,259,7,2026-01-04,2,322.94,Cash,West
ORD_4_13,7107,878,6,2026-01-04,1,174.77,UPI,West
ORD_4_14,2311,864,11,2026-01-04,8,391.15,Debit Card,West
ORD_4_15,7824,298,6,2026-01-04,4,14.62,Debit Card,North
ORD_4_16,3759,798,15,2026-01-04,3,468.02,Net Banking,West
ORD_4_17,5360,626,11,2026-01-04,10,24.71,Credit Card,North
ORD_4_18,9206,788,14,2026-01-04,1,418.75,Net Banking,South
ORD_4_19,9022,169,1,2026-01-04,7,25.96,UPI,North
ORD_4_20,7226,876,8,2026-01-04,8,117.97,UPI,North
ORD_4_21,8201,415,20,2026-01-04,7,236.25,Debit Card,West
ORD_4_22,1867,252,4,2026-01-04,6,172.75,Credit Card,East
ORD_4_23,1379,962,17,2026-01-04,6,42.61,Credit Card,East
ORD_4_24,9739,298,1,2026-01-04,3,304.41,Cash,East
ORD_4_25,6504,210,12,2026-01-04,5,97.43,UPI,East
ORD_4_26,6766,584,4,2026-01-04,9,498.26,Debit Card,South
ORD_4_27,1941,639,19,2026-01-04,2,431.95,Debit Card,West
ORD_4_28,3986,442,3,2026-01-04,10,318.5,Credit Card,West
ORD_4_29,8759,659,17,2026-01-04,2,336.8,UPI,East
ORD_4_30,6139,121,11,2026-01-04,7,22.05,Cash,North
ORD_4_31,9225,590,19,2026-01-04,8,389.73,Cash,South
ORD_4_32,5150,361,17,2026-01-04,7,24.82,UPI,West
ORD_4_33,4145,564,8,2026-01-04,7,284.36,Debit Card,West
ORD_4_34,1367,162,16,2026-01-04,10,11.12,Credit Card,South
