order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,payment_method,region
ORD_3_1,5758,821,13,2026-01-03,7,148.69,UPI,East
ORD_3_2,4115,254,11,2026-01-03,2,358.16,Net Banking,East
ORD_3_3,2165,142,19,2026-01-03,6,322.16,Cash,North
ORD_3_4,5568,360,7,2026-01-03,2,370.11,Credit Card,North
ORD_3_5,8792,489,3,2026-01-03,2,235.95,Credit Card,North
ORD_3_6,9355,603,3,2026-01-03,7,341.54,Net Banking,West
ORD_3_7,8751,894,6,2026-01-03,6,111.18,Net Banking,West
ORD_3_8,1563,858,3,2026-01-03,10,299.7,Net Banking,East
ORD_3_9,4285,934,5,2026-01-03,9,303.95,UPI,North
ORD_3_10,6694,849,16,2026-01-03,8,450.83,Credit Card,South
ORD_3_11,4322,563,7,2026-01-03,6,93.09,UPI,East
ORD_3_12,6613,408,20,2026-01-03,10,338.96,UPI,North
ORD_3_13,3203,885,4,2026-01-03,3,315.42,UPI,West
ORD_3_14,5792,276,15,2026-01-03,10,230.58,UPI,South
ORD_3_15,7541,202,11,2026-01-03,3,338.5,Debit Card,East
ORD_3_16,7738,327,19,2026-01-03,5,62.56,UPI,East
ORD_3_17,6867,586,15,2026-01-03,5,294.26,UPI,East
ORD_3_18,1068,703,13,2026-01-03,7,152.13,UPI,North
ORD_3_19,6567,534,8,2026-01-03,8,333.13,UPI,North
ORD_3_20,7285,150,17,2026-01-03,10,482.28,UPI,North
ORD_3_21,8125,952,3,2026-01-03,1,422.39,Debit Card,West
ORD_3_22,3499,867,17,2026-01-03,10,122.46,Credit Card,West
ORD_3_23,5795,954,7,2026-01-03,3,423.19,Debit Card,East
ORD_3_24,6133,669,17,2026-01-03,2,444.18,Debit Card,South
ORD_3_25,5368,328,10,2026-01-03,1,262.11,Net Banking,West
ORD_3_26,2544,943,17,2026-01-03,3,366.14,Net Banking,West
ORD_3_27,6954,484,17,2026-01-03,5,170.32,Debit Card,East
ORD_3_28,6249,550,13,2026-01-03,6,43.8,Net Banking,North
ORD_3_29,3275,264,10,2026-01-03,9,275.27,UPI,West
ORD_3_30,5359,789,15,2026-01-03,6,81.53,Debit Card,South
ORD_3_31,2555,304,7,2026-01-03,2,468.93,Debit Card,West
ORD_3_32,6570,712,1,2026-01-03,7,24.66,Debit Card,North
ORD_3_33,8963,177,3,2026-01-03,1,390.43,Debit Card,East
ORD_3_34,6402,578,14,2026-01-03,6,470.02,Credit Card,West
ORD_3_35,2780,127,2,2026-01-03,2,124.17,Net Banking,West
ORD_3_36,7026,316,13,2026-01-03,6,82.08,Net Banking,South
ORD_3_37,6504,874,20,2026-01-03,3,466.41,Net Banking,North
ORD_3_38,6825,108,11,2026-01-03,1,278.44,UPI,East
ORD_3_39,3803,709,11,2026-01-03,5,179.89,Debit Card,South
ORD_3_40,9347,281,8,2026-01-03,6,40.67,Cash,South
ORD_3_41,1801,575,1,2026-01-03,6,496.03,UPI,East
ORD_3_42,2696,228,14,2026-01-03,2,250.17,Cash,North
ORD_3_43,6280,677,4,2026-01-03,8,137.75,Debit Card,South
ORD_3_44,4271,196,13,2026-01-03,2,400.49,Cash,East
ORD_3_45,4340,821,6,2026-01-03,3,347.23,Debit Card,South
ORD_3_46,6702,406,6,2026-01-03,4,306.8,Cash,South
ORD_3_47,6109,667,7,2026-01-03,5,144.05,Credit Card,East
ORD_3_48,9799,604,18,2026-01-03,4,149.56,Credit Card,North
ORD_3_49,6300,700,18,2026-01-03,9,100.46,Debit Card,East
ORD_3_50,2944,704,9,2026-01-03,1,350.78,Net Banking,West
ORD_3_51,8402,353,9,2026-01-03,10,492.1,UPI,East
ORD_3_52,4208,186,12,2026-01-03,1,366.95,UPI,North
ORD_3_53,3672,604,5,2026-01-03,5,378.47,Cash,North
ORD_3_54,6825,215,10,2026-01-03,10,219.29,Credit Card,West
ORD_3_55,8624,165,1,2026-01-03,5,328.7,Credit Card,East
ORD_3_56,9817,325,19,2026-01-03,4,306.05,Net Banking,South
ORD_3_57,4510,522,13,2026-01-03,5,314.37,Cash,East
ORD_3_58,1855,888,6,2026-01-03,1,408.31,UPI,East
ORD_3_59,7540,503,14,2026-01-03,6,479.67,Debit Card,West
ORD_3_60,3249,713,17,2026-01-03,5,100.62,Debit Card,West
ORD_3_61,2590,974,16,2026-01-03,3,289.89,Debit Card,West
ORD_3_62,8687,530,8,2026-01-03,1,150.2,UPI,West
ORD_3_63,7251,657,8,2026-01-03,1,357.77,Credit Card,West
ORD_3_64,3027,469,5,2026-01-03,7,295.58,Credit Card,North
ORD_3_65,5413,273,4,2026-01-03,4,298.8,Cash,North
ORD_3_66,9537,249,19,2026-01-03,10,264.56,Net Banking,North
ORD_3_67,1814,552,9,2026-01-03,8,76.99,Debit Card,East
ORD_3_68,6326,155,12,2026-01-03,8,86.97,Credit Card,North
ORD_3_69,8483,440,16,2026-01-03,1,419.19,Debit Card,South
ORD_3_70,1370,657,15,2026-01-03,6,248.9,Cash,East
ORD_3_71,3429,411,16,2026-01-03,6,192.19,Cash,South
ORD_3_72,4917,597,6,2026-01-03,2,208.98,UPI,West
ORD_3_73,2606,428,9,2026-01-03,4,205.93,Debit Card,West
ORD_3_74,9052,255,2,2026-01-03,4,403.47,Net Banking,East
ORD_3_75,3578,168,20,2026-01-03,3,275.74,Net Banking,East
ORD_3_76,5165,942,2,2026-01-03,2,185.69,Credit Card,East
ORD_3_77,4192,408,12,2026-01-03,2,179.17,Cash,South
ORD_3_78,9500,973,8,2026-01-03,8,464.08,Cash,East
ORD_3_79,2865,593,1,2026-01-03,9,237.04,Cash,West
ORD_3_80,1674,608,4,2026-01-03,4,290.06,Debit Card,East
ORD_3_81,1332,827,12,2026-01-03,9,306.54,Net Banking,East
ORD_3_82,3417,550,12,2026-01-03,3,490.22,Cash,East
ORD_3_83,4868,474,1,2026-01-03,10,123.16,Net Banking,South
ORD_3_84,7571,643,19,2026-01-03,4,186.5,Credit Card,South
ORD_3_85,7881,192,3,2026-01-03,2,419.92,Net Banking,West
ORD_3_86,9487,566,12,2026-01-03,5,254.85,Debit Card,West
ORD_3_87,9177,626,18,2026-01-03,3,175.17,Credit Card,West
ORD_3_88,8346,507,13,2026-01-03,8,112.39,Cash,North
ORD_3_89,3055,536,9,2026-01-03,2,105.23,Debit Card,South
ORD_3_90,7289,677,14,2026-01-03,10,124.5,UPI,West
ORD_3_91,4578,526,13,2026-01-03,2,259.39,Debit Card,North
ORD_3_92,8217,985,7,2026-01-03,5,187.04,UPI,East
ORD_3_93,4594,163,20,2026-01-03,5,88.07,Cash,East
ORD_3_94,8424,598,13,2026-01-03,3,349.82,Cash,South
ORD_3_95,7777,272,11,2026-01-03,6,311.67,Cash,North
ORD_3_96,5022,232,10,2026-01-03,5,376.86,Credit Card,South
ORD_3_97,2850,130,20,2026-01-03,3,194.99,Debit Card,North
ORD_3_98,5173,380,19,2026-01-03,3,161.37,Debit Card,South
ORD_3_99,2395,112,1,2026-01-03,8,116.49,Cash,East
ORD_3_100,6698,116,15,2026-01-03,9,107.01,Cash,North
ORD_3_101,8448,461,19,2026-01-03,8,258.45,Credit Card,North
ORD_3_102,9976,783,3,2026-01-03,2,126.2,Credit Card,North
ORD_3_103,7544,415,14,2026-01-03,1,378.59,Net Banking,North
ORD_3_104,6301,298,17,2026-01-03,6,444.02,Debit Card,South
ORD_3_105,2211,599,12,2026-01-03,3,400.96,Cash,West
ORD_3_106,3907,155,14,2026-01-03,7,341.11,UPI,South
ORD_3_107,4260,584,14,2026-01-03,2,461.1,UPI,South
ORD_3_108,4689,230,9,2026-01-03,6,202.43,Cash,East
ORD_3_109,5001,380,12,2026-01-03,7,118.36,Credit Card,North
ORD_3_110,5202,771,16,2026-01-03,1,348.75,Credit Card,South
ORD_3_111,9799,109,18,2026-01-03,8,357.18,Credit Card,South
ORD_3_112,4840,251,17,2026-01-03,3,180.84,Net Banking,South
ORD_3_113,9040,610,1,2026-01-03,2,91.2,UPI,East
ORD_3_114,1215,187,17,2026-01-03,1,320.73,Credit Card,East
ORD_3_115,5945,871,2,2026-01-03,6,174.13,UPI,West
ORD_3_116,1494,756,20,2026-01-03,4,206.04,Net Banking,South
ORD_3_117,8770,224,10,2026-01-03,3,454.19,Debit Card,North
ORD_3_118,9258,824,14,2026-01-03,7,399.55,Net Banking,West
ORD_3_119,8624,222,15,2026-01-03,2,357.23,Net Banking,East
ORD_3_120,3428,867,5,2026-01-03,4,306.11,Cash,North
ORD_3_121,5595,701,20,2026-01-03,2,431.95,Cash,West
ORD_3_122,7448,785,19,2026-01-03,10,271.55,UPI,South
ORD_3_123,8195,175,2,2026-01-03,3,168.07,Net Banking,East
ORD_3_124,2173,480,8,2026-01-03,4,341.28,Cash,East
ORD_3_125,5109,964,7,2026-01-03,2,238.9,Net Banking,South
ORD_3_126,2053,921,1,2026-01-03,4,490.93,Net Banking,North
ORD_3_127,7363,811,8,2026-01-03,1,276.18,UPI,East
ORD_3_128,7071,569,16,2026-01-03,3,104.05,Net Banking,North
ORD_3_129,4899,301,2,2026-01-03,4,474.91,Net Banking,North
ORD_3_130,3504,328,18,2026-01-03,3,213.16,UPI,South
ORD_3_131,1471,656,19,2026-01-03,3,205.75,Credit Card,North
ORD_3_132,6220,378,15,2026-01-03,4,362.63,Net Banking,North
ORD_3_133,9217,539,10,2026-01-03,4,87.28,Cash,South
ORD_3_134,1603,209,1,2026-01-03,6,301.2,UPI,North
ORD_3_135,5439,529,2,2026-01-03,4,287.44,Credit Card,South
ORD_3_136,3410,181,6,2026-01-03,3,112.78,Credit Card,South
ORD_3_137,3697,139,5,2026-01-03,6,219.14,UPI,West
ORD_3_138,7253,969,14,2026-01-03,8,380.06,Cash,East
ORD_3_139,9995,855,18,2026-01-03,6,301.18,Debit Card,North
ORD_3_140,8823,922,14,2026-01-03,1,498.59,Credit Card,East
ORD_3_141,2217,710,4,2026-01-03,5,323.44,Credit Card,North
